City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
243,Lorengau,PG,-2.0226,147.2712,82.87,75,79,broken clouds
244,Progreso,MX,21.2833,-89.6667,78.12,79,100,overcast clouds
245,Solnechnyy,RU,50.7214,136.6319,59.59,86,100,overcast clouds
246,Lillooet,CA,50.6856,-121.942,88.52,24,83,broken clouds
247,Cabo San Lucas,MX,22.8909,-109.9124,87.62,70,20,few clouds
248,Zhigansk,RU,66.7697,123.3711,37.13,83,42,scattered clouds
249,Coquimbo,CL,-29.9533,-71.3436,55.13,71,0,clear sky
250,Ostersund,SE,63.1792,14.6357,45.05,81,75,broken clouds
251,Marshall,US,34.3834,-86.3333,73.94,86,40,scattered clouds
252,Outjo,NA,-20.1167,16.15,64.78,29,7,clear sky
253,Borogontsy,RU,62.6683,131.1683,43.11,68,25,scattered clouds
254,Katsuura,JP,35.1333,140.3,77.36,83,89,overcast clouds
255,Scottsbluff,US,41.8666,-103.6672,81.72,24,0,clear sky
256,Tuatapere,NZ,-46.1333,167.6833,52.2,78,100,moderate rain
257,Camacha,PT,33.0833,-16.3333,74.62,69,40,scattered clouds
258,Ballitoville,ZA,-29.539,31.2144,63.16,82,100,light rain
259,Dargaville,NZ,-35.9333,173.8833,61.59,84,27,scattered clouds
260,Ribeira Grande,PT,38.5167,-28.7,73.13,79,100,overcast clouds
261,Sibu,MY,2.3,111.8167,77.31,88,20,few clouds
262,Mudgee,AU,-32.5943,149.5871,53.78,54,1,clear sky
263,Vestmannaeyjar,IS,63.4427,-20.2734,49.51,82,5,clear sky
264,Loding,NO,67.3,14.75,48.65,94,100,light intensity drizzle
265,Bilibino,RU,68.0546,166.4372,47.37,83,99,overcast clouds
266,Esmeraldas,BR,-19.7625,-44.3139,79.11,39,48,scattered clouds
267,Kokopo,PG,-4.352,152.2633,82.94,55,53,broken clouds
268,Aitape,PG,-3.1374,142.3475,83.57,64,94,overcast clouds
269,Mulki,IN,13.1,74.8,79.88,89,75,heavy intensity rain
270,Raudeberg,NO,61.9875,5.1352,56.07,52,100,overcast clouds
271,Touros,BR,-5.1989,-35.4608,77.07,77,53,broken clouds
272,Ostrovnoy,RU,68.0531,39.5131,47.23,97,100,light rain
273,Xining,CN,36.6167,101.7667,51.49,71,0,clear sky
274,Oranjemund,NA,-28.55,16.4333,53.85,78,84,broken clouds
275,Antofagasta,CL,-23.65,-70.4,56.48,81,80,broken clouds
276,Sebeta,ET,8.9167,38.6167,59.04,92,92,light rain
277,Noumea,NC,-22.2763,166.4572,82.38,99,69,broken clouds
278,Sioux Lookout,CA,50.1001,-91.917,60.87,59,40,scattered clouds
279,Sisimiut,GL,66.9395,-53.6735,45.0,88,100,light rain
280,Palm Valley,US,30.1775,-81.3876,82.62,93,93,overcast clouds
281,Te Anau,NZ,-45.4167,167.7167,48.09,84,100,moderate rain
282,Aksarka,RU,66.5606,67.7975,40.28,87,100,overcast clouds
283,Honningsvag,NO,70.9821,25.9704,44.35,81,100,light rain
284,Kiruna,SE,67.8557,20.2251,40.12,87,100,overcast clouds
285,Ahipara,NZ,-35.1667,173.1667,60.75,86,25,scattered clouds
286,Nizhniy Kuranakh,RU,58.8353,125.4869,50.94,65,5,clear sky
287,Deputatskiy,RU,69.3,139.9,34.34,85,100,overcast clouds
288,Pisco,PE,-13.7,-76.2167,61.02,82,15,few clouds
289,Chimoio,MZ,-19.1164,33.4833,61.66,79,0,clear sky
290,East London,ZA,-33.0153,27.9116,59.65,74,100,light rain
291,Totskoye,RU,52.5248,52.7623,50.23,63,100,overcast clouds
292,Santa Marinella,IT,42.0345,11.8536,70.7,74,0,clear sky
293,Hambantota,LK,6.1241,81.1185,75.54,100,20,few clouds
294,Ambilobe,MG,-13.2,49.05,66.69,77,100,overcast clouds
295,Fort Nelson,CA,58.8053,-122.7002,63.99,27,75,broken clouds
296,Barra Do Garcas,BR,-15.89,-52.2567,81.73,23,8,clear sky
297,Conde,BR,-7.2597,-34.9075,72.86,94,20,few clouds
298,Vila Velha,BR,-20.3297,-40.2925,71.55,84,100,overcast clouds
299,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,81,100,overcast clouds
300,Broken Hill,AU,-31.95,141.4333,59.68,44,25,scattered clouds
301,Hasaki,JP,35.7333,140.8333,79.29,82,57,broken clouds
302,Kawalu,ID,-7.3817,108.2082,76.59,85,83,broken clouds
303,North Branch,US,45.5113,-92.9802,69.87,79,83,broken clouds
304,Lodwar,KE,3.1191,35.5973,81.19,49,100,overcast clouds
305,Anadyr,RU,64.75,177.4833,48.7,66,40,scattered clouds
306,Boston,US,42.3584,-71.0598,73.09,73,100,overcast clouds
307,Jabinyanah,TN,35.035,10.9081,80.4,65,42,scattered clouds
308,Tchollire,CM,8.4022,14.1698,70.9,94,100,overcast clouds
309,Souillac,MU,-20.5167,57.5167,68.38,83,75,broken clouds
310,Kupang,ID,-10.1667,123.5833,84.47,58,37,scattered clouds
311,Clyde River,CA,70.4692,-68.5914,37.63,100,100,mist
312,Marawi,PH,7.9986,124.2928,78.26,67,93,overcast clouds
313,Carnarvon,AU,-24.8667,113.6333,68.38,61,39,scattered clouds
314,Soe,ID,-9.8607,124.284,79.14,42,19,few clouds
315,Gamba,GA,-2.65,10.0,73.67,83,100,overcast clouds
316,Mikuni,JP,36.2171,136.1519,80.51,75,99,overcast clouds
317,Naze,JP,28.3667,129.4833,83.32,83,75,broken clouds
318,Alofi,NU,-19.0595,-169.9187,82.29,65,3,clear sky
319,Wucheng,CN,29.6008,118.175,79.45,58,0,clear sky
320,Sibolga,ID,1.7427,98.7792,80.01,77,80,broken clouds
321,Tabou,CI,4.423,-7.3528,74.7,87,100,overcast clouds
322,Bhadrachalam,IN,17.6667,80.8833,74.89,96,100,overcast clouds
323,Hamilton,US,39.1834,-84.5333,73.44,93,75,broken clouds
324,Husavik,IS,66.0449,-17.3389,47.34,94,100,overcast clouds
325,Greeley,US,40.4233,-104.7091,80.22,30,0,clear sky
326,Viedma,AR,-40.8135,-62.9967,56.73,29,3,clear sky
327,Walvis Bay,NA,-22.9575,14.5053,54.55,87,0,clear sky
328,Aljezur,PT,37.3191,-8.8033,68.59,91,100,overcast clouds
329,Port Lincoln,AU,-34.7333,135.8667,54.82,80,99,overcast clouds
330,Sakakah,SA,29.9697,40.2064,89.17,20,1,clear sky
331,Bowen,AU,-20.0167,148.2333,74.48,62,1,clear sky
332,Pangnirtung,CA,66.1451,-65.7125,41.61,99,100,moderate rain
333,Alice Springs,AU,-23.7,133.8833,60.35,72,40,scattered clouds
334,Dwarka,IN,22.2394,68.9678,80.53,81,100,overcast clouds
335,Brigantine,US,39.4101,-74.3646,74.05,96,100,overcast clouds
336,Semirom,IR,31.4167,51.5667,56.35,43,0,clear sky
337,Trelew,AR,-43.249,-65.3051,54.59,49,74,broken clouds
338,Baglan,AF,36.1307,68.7083,62.29,27,1,clear sky
339,Iquique,CL,-20.2208,-70.1431,59.04,76,38,scattered clouds
340,Anstruther,GB,56.2231,-2.7023,60.85,100,40,light rain
341,Murgab,TM,37.4966,61.9714,55.27,44,0,clear sky
342,Margate,GB,51.3813,1.3862,66.9,91,70,broken clouds
343,College,US,64.8569,-147.8028,63.07,51,75,broken clouds
344,Itaituba,BR,-4.2761,-55.9836,86.61,35,98,overcast clouds
345,Jacareacanga,BR,-6.2222,-57.7528,82.92,36,0,clear sky
346,Saint-Joseph,RE,-21.3667,55.6167,71.47,76,18,few clouds
347,Tiarei,PF,-17.5333,-149.3333,84.22,69,5,clear sky
348,Khani,GE,41.9563,42.9566,63.97,63,0,clear sky
349,Zalantun,CN,48.0,122.7167,67.08,64,99,overcast clouds
350,Marzuq,YE,14.4,46.4667,79.74,47,99,light rain
351,Port-Gentil,GA,-0.7193,8.7815,74.75,84,100,overcast clouds
352,Nouakchott,MR,18.0858,-15.9785,81.32,77,66,broken clouds
353,Fernley,US,39.608,-119.2518,91.02,23,71,broken clouds
354,Rajanpur,PK,29.1035,70.325,86.99,56,0,clear sky
355,Dondo,MZ,-19.6094,34.7431,65.23,95,1,clear sky
356,Caraballeda,VE,10.6112,-66.8522,82.36,83,40,scattered clouds
357,Kirakira,SB,-10.4544,161.9205,82.44,74,73,broken clouds
358,Hjelset,NO,62.7833,7.4833,53.38,87,100,overcast clouds
359,Parfino,RU,57.9731,31.6481,48.11,76,100,overcast clouds
360,Manaquiri,BR,-3.3167,-60.35,88.25,46,21,few clouds
361,Lavrentiya,RU,65.5833,-171.0,45.36,83,100,overcast clouds
362,Prieska,ZA,-29.6641,22.7474,52.14,62,100,overcast clouds
363,Sur,OM,22.5667,59.5289,86.65,57,98,overcast clouds
364,Healdsburg,US,38.6105,-122.8692,93.97,40,75,haze
365,Scarborough,GB,54.2797,-0.4044,60.91,91,100,light rain
366,Mackenzie,CA,55.2999,-123.1698,70.02,26,0,clear sky
367,Vilhena,BR,-12.7406,-60.1458,79.07,46,100,overcast clouds
368,Gunnedah,AU,-30.9833,150.25,59.88,43,14,few clouds
369,Sawtell,AU,-30.3833,153.1,68.18,45,75,broken clouds
370,Dubna,RU,56.7333,37.1667,45.77,67,100,overcast clouds
371,Neuquen,AR,-38.9516,-68.0591,62.49,29,0,clear sky
372,Bone,DE,51.9669,12.1396,55.81,82,100,overcast clouds
373,Dawei,MM,14.0833,98.2,76.46,88,100,overcast clouds
374,Dhuwaran,IN,22.2333,72.8,79.14,90,100,moderate rain
375,Tura,IN,25.5198,90.2201,73.45,93,100,overcast clouds
376,Easley,US,34.8298,-82.6015,76.5,88,100,overcast clouds
377,Da Nang,VN,16.0678,108.2208,78.78,89,40,scattered clouds
378,Tecoanapa,MX,16.5167,-98.75,77.59,91,100,overcast clouds
379,Karratha,AU,-20.7377,116.8463,74.75,45,0,clear sky
380,Iracoubo,GF,5.4802,-53.2011,79.21,83,4,clear sky
381,Merauke,ID,-8.4667,140.3333,84.63,67,99,overcast clouds
382,Muravlenko,RU,63.7898,74.523,39.79,83,100,overcast clouds
383,Villarrica,PY,-25.75,-56.4333,57.02,64,60,broken clouds
384,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,79,0,clear sky
385,Odweyne,SO,9.4092,45.064,71.56,67,6,clear sky
386,Cururupu,BR,-1.8283,-44.8683,76.77,85,88,overcast clouds
