City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
492,Patu,BR,76.93,broken clouds,-6.11,-37.6367,Pousada Cidade do Sol
495,Lahat,ID,75.29,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
496,Garmsar,IR,74.05,clear sky,35.2182,52.3409,مجتمع مرصاد
497,Mutis,CO,77.5,light rain,6.2262,-77.4044,Paraiso Escondido
498,Praia,CV,78.17,clear sky,14.9215,-23.5087,LT Aparthotel
499,Mendi,PG,65.35,overcast clouds,-6.1761,143.6513,Kiburu Lodge
501,Carballo,ES,70.9,overcast clouds,43.213,-8.691,Pazo do Souto
502,Enshi,CN,73.49,clear sky,30.3,109.4833,Moevenpick Enshi
508,Jacqueville,CI,73.24,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
514,Sabang,ID,81.79,overcast clouds,5.8933,95.3214,Hotel Citra
515,Hayden,US,79.48,haze,47.766,-116.7866,Triple Play Resort Hotel & Suites
516,Salamiyah,SY,70.05,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
518,Cap Malheureux,MU,67.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
519,Itajuipe,BR,70.59,few clouds,-14.6781,-39.375,Pousada Itajuipe
521,Tamano,JP,84.88,few clouds,34.4833,133.95,Yado Seven Beach
523,Hami,CN,82.4,clear sky,42.8,93.45,Laoyutang Resort
524,Acarau,BR,77.76,scattered clouds,-2.8856,-40.12,castelo pizzaria
525,Dera Ghazi Khan,PK,86.02,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
526,Gigmoto,PH,84.97,overcast clouds,13.7796,124.39,Cj's Travellers Inn
527,Kumluca,TR,79.39,clear sky,36.3703,30.2869,Akkol Apart
528,Mandan,US,80.58,clear sky,46.8267,-100.8896,Twin City Estates
529,Burns Lake,CA,72.82,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
531,Polson,US,71.49,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
532,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
534,Prestea,GH,70.09,overcast clouds,5.4327,-2.1428,Channel 5
535,Trogir,HR,68.05,clear sky,43.5125,16.2517,Hotel Medena
536,Gushikawa,JP,83.79,clear sky,26.3544,127.8686,Kirari Guest House
537,Frontera,MX,87.55,scattered clouds,26.9333,-101.45,Fiesta Inn Monclova
541,Russell,US,79.88,scattered clouds,32.3502,-85.1999,Macs
543,Hope,US,80.65,broken clouds,33.6671,-93.5916,Best Western Hope
544,Colares,PT,72.34,light rain,38.7992,-9.4469,Arribas Sintra Hotel
546,Cairns,AU,84.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
547,Tonantins,BR,76.12,scattered clouds,-2.8731,-67.8022,Hotel Hortensias
549,Huilong,CN,79.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
550,Shingu,JP,81.81,overcast clouds,33.7333,135.9833,Shingu UI Hotel
553,Marrakesh,MA,77.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
556,Belmonte,BR,70.03,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
557,Nsukka,NG,67.17,overcast clouds,6.8561,7.3927,The AttaGate Hotels
559,Port Macquarie,AU,67.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
560,Kieta,PG,84.24,few clouds,-6.2167,155.6333,Uruna Bay Retreat
562,Machala,EC,69.64,broken clouds,-3.2667,-79.9667,"Hotel ""Bolivar Internacional"""
563,Katherine,AU,86.32,clear sky,-14.4667,132.2667,Pine Tree Motel
565,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
566,Yilan,TW,82.36,overcast clouds,24.757,121.753,Dar Chen Hotel
568,Vao,NC,72.3,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
