City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Baltay,RU,2022-09-10 03:28:16,52.4652,46.6308,39.74,78,6,9.66
274,Aswan,EG,2022-09-10 03:29:17,24.0934,32.907,81.5,33,0,8.12
275,Vestmannaeyjar,IS,2022-09-10 03:29:17,63.4427,-20.2734,53.28,97,100,19.82
276,Voyvozh,RU,2022-09-10 03:29:18,62.892,54.9635,40.95,98,100,5.44
277,Juba,SS,2022-09-10 03:29:18,4.8517,31.5825,67.53,96,65,2.62
278,Esna,EG,2022-09-10 03:29:18,25.2934,32.554,81.19,33,0,8.23
279,Leh,IN,2022-09-10 03:27:02,34.1667,77.5833,59.58,52,92,4.0
280,Kashan,IR,2022-09-10 03:29:19,33.9831,51.4364,78.66,28,2,4.68
281,Mambajao,PH,2022-09-10 03:29:19,9.2504,124.7156,85.12,68,100,3.42
282,Dukat,RU,2022-09-10 03:29:20,62.55,155.55,40.44,96,100,3.13
283,Lugus,PH,2022-09-10 03:29:20,5.7036,120.8203,82.81,71,93,5.79
284,Marang,MY,2022-09-10 03:29:21,5.2056,103.2059,82.31,79,95,1.52
285,Fairbanks,US,2022-09-10 03:26:15,64.8378,-147.7164,55.36,72,75,6.91
286,Puerto Ayora,EC,2022-09-10 03:29:21,-0.7393,-90.3518,67.55,91,95,5.01
287,Puerto Escondido,MX,2022-09-10 03:24:52,15.85,-97.0667,79.63,65,75,6.91
288,Lompoc,US,2022-09-10 03:29:22,34.6391,-120.4579,82.69,70,0,4.61
289,Beinamar,TD,2022-09-10 03:29:23,8.6698,15.3813,68.76,99,100,5.01
290,Los Mochis,MX,2022-09-10 03:29:23,25.7667,-108.9667,80.47,74,75,6.91
291,Kaeo,NZ,2022-09-10 03:29:24,-35.1,173.7833,66.33,52,9,4.38
292,Benguela,AO,2022-09-10 03:29:25,-12.5763,13.4055,71.85,78,100,4.18
293,Partenit,UA,2022-09-10 03:29:25,44.578,34.3446,66.36,67,71,8.08
